Location Name,State Index,State Abbr,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
Maricao Municipio,Puerto Rico,PR,6274,4001,637.71,63.771,72,93
Guanica Municipio,Puerto Rico,PR,17788,11199,629.58,62.958,72,55
Adjuntas Municipio,Puerto Rico,PR,18760,11791,628.52,62.852,72,1
Comerio Municipio,Puerto Rico,PR,20153,12220,606.36,60.636,72,45
Ciales Municipio,Puerto Rico,PR,17644,10694,606.1,60.61,72,39
Barranquitas Municipio,Puerto Rico,PR,29548,17728,599.97,59.997,72,19
Lajas Municipio,Puerto Rico,PR,24323,14552,598.28,59.828,72,79
Jayuya Municipio,Puerto Rico,PR,15605,9196,589.3,58.93,72,73
Guayanilla Municipio,Puerto Rico,PR,20025,11725,585.52,58.552,72,59
Las Marias Municipio,Puerto Rico,PR,9093,5309,583.86,58.386,72,83
Orocovis Municipio,Puerto Rico,PR,22258,12776,574,57.4,72,107
Pe?uelas Municipio,Puerto Rico,PR,22231,12748,573.43,57.343,72,111
Lares Municipio,Puerto Rico,PR,28052,15984,569.8,56.98,72,81
Patillas Municipio,Puerto Rico,PR,18135,10279,566.8,56.68,72,109
San Sebastian Municipio,Puerto Rico,PR,39755,22387,563.12,56.312,72,131
Moca Municipio,Puerto Rico,PR,38289,21529,562.28,56.228,72,99
Maunabo Municipio,Puerto Rico,PR,11506,6431,558.93,55.893,72,95
Quebradillas Municipio,Puerto Rico,PR,24904,13897,558.02,55.802,72,115
Corozal Municipio,Puerto Rico,PR,35484,19774,557.27,55.727,72,47
Florida Municipio,Puerto Rico,PR,12287,6707,545.86,54.586,72,54
Aguada Municipio,Puerto Rico,PR,40083,21828,544.57,54.457,72,3
Isabela Municipio,Puerto Rico,PR,43919,23902,544.23,54.423,72,71
Oglala Lakota County,South Dakota,SD,14263,7622,534.39,53.439,46,102
Arroyo Municipio,Puerto Rico,PR,18778,9958,530.3,53.03,72,15
Barceloneta Municipio,Puerto Rico,PR,24699,13083,529.7,52.97,72,17
Salinas Municipio,Puerto Rico,PR,29722,15702,528.3,52.83,72,123
Utuado Municipio,Puerto Rico,PR,30869,16103,521.66,52.166,72,141
Morovis Municipio,Puerto Rico,PR,32087,16601,517.37,51.737,72,101
Guayama Municipio,Puerto Rico,PR,43210,22189,513.52,51.352,72,57
Mayaguez Municipio,Puerto Rico,PR,81594,41350,506.78,50.678,72,97
Aguas Buenas Municipio,Puerto Rico,PR,27323,13814,505.58,50.558,72,7
Villalba Municipio,Puerto Rico,PR,24186,12185,503.8,50.38,72,149
Santa Isabel Municipio,Puerto Rico,PR,22732,11449,503.65,50.365,72,133
San German Municipio,Puerto Rico,PR,33546,16865,502.74,50.274,72,125
Ponce Municipio,Puerto Rico,PR,152594,76635,502.22,50.222,72,113
Cabo Rojo Municipio,Puerto Rico,PR,50096,25055,500.14,50.014,72,23
Naguabo Municipio,Puerto Rico,PR,26722,13311,498.13,49.813,72,103
Yauco Municipio,Puerto Rico,PR,38519,19162,497.47,49.747,72,153
Loiza Municipio,Puerto Rico,PR,27857,13785,494.85,49.485,72,87
Yabucoa Municipio,Puerto Rico,PR,35670,17603,493.5,49.35,72,151
Coamo Municipio,Puerto Rico,PR,40090,19726,492.04,49.204,72,43
Cata?o Municipio,Puerto Rico,PR,26137,12829,490.84,49.084,72,33
Sabana Grande Municipio,Puerto Rico,PR,24013,11762,489.82,48.982,72,121
Juncos Municipio,Puerto Rico,PR,39942,19558,489.66,48.966,72,77
A?asco Municipio,Puerto Rico,PR,28250,13760,487.08,48.708,72,11
Camuy Municipio,Puerto Rico,PR,33481,16173,483.05,48.305,72,27
Aguadilla Municipio,Puerto Rico,PR,56893,27469,482.82,48.282,72,5
Arecibo Municipio,Puerto Rico,PR,91096,43974,482.72,48.272,72,13
Rincon Municipio,Puerto Rico,PR,14700,7068,480.82,48.082,72,117
Juana Diaz Municipio,Puerto Rico,PR,48658,23218,477.17,47.717,72,75
Naranjito Municipio,Puerto Rico,PR,29467,14032,476.19,47.619,72,105
Vega Alta Municipio,Puerto Rico,PR,39018,18572,475.99,47.599,72,143
Las Piedras Municipio,Puerto Rico,PR,38466,18254,474.55,47.455,72,85
Aibonito Municipio,Puerto Rico,PR,24438,11433,467.84,46.784,72,9
San Lorenzo Municipio,Puerto Rico,PR,39283,18300,465.85,46.585,72,129
Corson County,South Dakota,SD,4170,1929,462.59,46.259,46,31
Manati Municipio,Puerto Rico,PR,41468,19121,461.1,46.11,72,91
Todd County,South Dakota,SD,10019,4582,457.33,45.733,46,121
Vega Baja Municipio,Puerto Rico,PR,55866,25518,456.77,45.677,72,145
Culebra Municipio,Puerto Rico,PR,1508,679,450.27,45.027,72,49
Mellette County,South Dakota,SD,2083,937,449.83,44.983,46,95
Humacao Municipio,Puerto Rico,PR,55621,24941,448.41,44.841,72,69
Ceiba Municipio,Puerto Rico,PR,12538,5611,447.52,44.752,72,37
Hatillo Municipio,Puerto Rico,PR,41327,18400,445.23,44.523,72,65
Luquillo Municipio,Puerto Rico,PR,19237,8450,439.26,43.926,72,89
Fajardo Municipio,Puerto Rico,PR,33912,14866,438.37,43.837,72,53
Holmes County,Mississippi,MS,18547,8046,433.82,43.382,28,51
Canovanas Municipio,Puerto Rico,PR,47174,20421,432.89,43.289,72,29
Cayey Municipio,Puerto Rico,PR,46071,19824,430.29,43.029,72,35
Humphreys County,Mississippi,MS,8822,3706,420.09,42.009,28,53
Cidra Municipio,Puerto Rico,PR,41782,17471,418.15,41.815,72,41
San Juan Municipio,Puerto Rico,PR,363744,151520,416.56,41.656,72,127
Wolfe County,Kentucky,KY,7221,2896,401.05,40.105,21,237
Ziebach County,South Dakota,SD,2818,1106,392.48,39.248,46,137
Clay County,Georgia,GA,3068,1199,390.81,39.081,13,61
Buffalo County,South Dakota,SD,2052,800,389.86,38.986,46,17
McCreary County,Kentucky,KY,17850,6906,386.89,38.689,21,147
Claiborne County,Mississippi,MS,9209,3554,385.93,38.593,28,21
Leflore County,Mississippi,MS,30500,11765,385.74,38.574,28,83
McKinley County,New Mexico,NM,74346,28089,377.81,37.781,35,31
Greene County,Alabama,AL,8587,3233,376.5,37.65,1,63
Clay County,Kentucky,KY,21160,7961,376.23,37.623,21,51
Jefferson County,Mississippi,MS,7528,2812,373.54,37.354,28,63
Bennett County,South Dakota,SD,3445,1286,373.29,37.329,46,7
Starr County,Texas,TX,63008,23445,372.1,37.21,48,427
Sioux County,North Dakota,ND,4431,1646,371.47,37.147,38,85
Caguas Municipio,Puerto Rico,PR,136372,50464,370.05,37.005,72,25
Rio Grande Municipio,Puerto Rico,PR,52479,19400,369.67,36.967,72,119
Toa Baja Municipio,Puerto Rico,PR,83645,30811,368.35,36.835,72,137
Quitman County,Mississippi,MS,7634,2799,366.65,36.665,28,119
Perry County,Alabama,AL,9856,3605,365.77,36.577,1,105
Owsley County,Kentucky,KY,4552,1652,362.92,36.292,21,189
Hormigueros Municipio,Puerto Rico,PR,16678,6013,360.53,36.053,72,67
East Carroll Parish,Louisiana,LA,7419,2671,360.02,36.002,22,35
Bolivar County,Mississippi,MS,33615,12097,359.87,35.987,28,11
Kusilvak Census Area,Alaska,AK,7993,2862,358.06,35.806,2,158
Dorado Municipio,Puerto Rico,PR,38013,13587,357.43,35.743,72,51
Jackson County,South Dakota,SD,3268,1167,357.1,35.71,46,71
